INCIDENT_DATE,INCIDENT_TIME,UOF_NUMBER,OFFICER_ID,OFFICER_GENDER,OFFICER_RACE,OFFICER_HIRE_DATE,OFFICER_YEARS_ON_FORCE,OFFICER_INJURY,OFFICER_INJURY_TYPE,OFFICER_HOSPITALIZATION,SUBJECT_ID,SUBJECT_RACE,SUBJECT_GENDER,SUBJECT_INJURY,SUBJECT_INJURY_TYPE,SUBJECT_WAS_ARRESTED,SUBJECT_DESCRIPTION,SUBJECT_OFFENSE,REPORTING_AREA,BEAT,SECTOR,DIVISION,LOCATION_DISTRICT,STREET_NUMBER,STREET_NAME,STREET_DIRECTION,STREET_TYPE,LOCATION_FULL_STREET_ADDRESS_OR_INTERSECTION,LOCATION_CITY,LOCATION_STATE,LOCATION_LATITUDE,LOCATION_LONGITUDE,INCIDENT_REASON,REASON_FOR_FORCE,TYPE_OF_FORCE_USED1,TYPE_OF_FORCE_USED2,TYPE_OF_FORCE_USED3,TYPE_OF_FORCE_USED4,TYPE_OF_FORCE_USED5,TYPE_OF_FORCE_USED6,TYPE_OF_FORCE_USED7,TYPE_OF_FORCE_USED8,TYPE_OF_FORCE_USED9,TYPE_OF_FORCE_USED10,NUMBER_EC_CYCLES,FORCE_EFFECTIVE
OCCURRED_D,OCCURRED_T,UOFNum,CURRENT_BA,OffSex,OffRace,HIRE_DT,INCIDENT_DATE_LESS_,OFF_INJURE,OFF_INJURE_DESC,OFF_HOSPIT,CitNum,CitRace,CitSex,CIT_INJURE,SUBJ_INJURE_DESC,CIT_ARREST,CIT_INFL_A,CitChargeT,RA,BEAT,SECTOR,DIVISION,DIST_NAME,STREET_N,STREET,street_g,street_t,Street Address,City,State,Latitude,Longitude,SERVICE_TY,UOF_REASON,ForceType1,ForceType2,ForceType3,ForceType4,ForceType5,ForceType6,ForceType7,ForceType8,ForceType9,ForceType10,Cycles_Num,ForceEffec
9/3/16,4:14:00 AM,37702,10810,Male,Black,5/7/14,2,No,No injuries noted or visible,No,46424,Black,Female,Yes,Non-Visible Injury/Pain,Yes,Mentally unstable,APOWW,2062,134,130,CENTRAL,D14,211,Ervay,N,St.,211 N ERVAY ST,Dallas,TX,32.782205,-96.797461,Arrest,Arrest,Hand/Arm/Elbow Strike,,,,,,,,,,NULL, Yes
3/22/16,11:00:00 PM,33413,7706,Male,White,1/8/99,17,Yes,Sprain/Strain,Yes,44324,Hispanic,Male,No,No injuries noted or visible,Yes,Mentally unstable,APOWW,1197,237,230,NORTHEAST,D9,7647,Ferguson,NULL,Rd.,7647 FERGUSON RD,Dallas,TX,32.798978,-96.717493,Arrest,Arrest,Joint Locks,,,,,,,,,,NULL, Yes
5/22/16,1:29:00 PM,34567,11014,Male,Black,5/20/15,1,No,No injuries noted or visible,No,45126,Hispanic,Male,No,No injuries noted or visible,Yes,Unknown,APOWW,4153,432,430,SOUTHWEST,D6,716,bimebella dr,NULL,Ln.,716 BIMEBELLA LN,Dallas,TX,32.73971,-96.92519,Arrest,Arrest,Take Down - Group,,,,,,,,,,NULL, Yes
1/10/16,8:55:00 PM,31460,6692,Male,Black,7/29/91,24,No,No injuries noted or visible,No,43150,Hispanic,Male,Yes,Laceration/Cut,Yes,FD-Unknown if Armed,Evading Arrest,4523,641,640,NORTH CENTRAL,D11,5600,LBJ,NULL,Frwy.,5600 L B J FWY,Dallas,TX,,,Arrest,Arrest,K-9 Deployment,,,,,,,,,,NULL, Yes
11/8/16,2:30:00 AM," 37879, 37898",9844,Male,White,10/4/09,7,No,No injuries noted or visible,No,47307,Black,Male,No,No injuries noted or visible,Yes,Unknown,Other Misdemeanor Arrest,2167,346,340,SOUTHEAST,D7,4600,Malcolm X,S,Blvd.,4600 S MALCOLM X BLVD,Dallas,TX,,,Arrest,Arrest,Verbal Command,Take Down - Arm,,,,,,,,,NULL," No, Yes"
9/11/16,7:20:00 PM,36724,9855,Male,White,6/10/09,7,No,No injuries noted or visible,No,46549,White,Female,No,No injuries noted or visible,Yes,Unknown,Assault/FV,1134,235,230,NORTHEAST,D9,1234,Peavy,NULL,Rd.,1234 PEAVY RD,Dallas,TX,32.837527,-96.695566,Arrest,Arrest,Hand Controlled Escort,,,,,,,,,,NULL, Yes
11/26/16,9:00:00 PM,38441,9881,Male,White,6/10/09,7,No,No injuries noted or visible,No,47555,Black,Male,No,No injuries noted or visible,Yes,None detected,Assault,2049,132,130,CENTRAL,D14,511,Akard,N,St.,511 N AKARD ST,Dallas,TX,32.784328,-96.800631,Arrest,Arrest,Weapon display at Person,,,,,,,,,,NULL, Yes
3/16/16,8:00:00 PM,33133,9058,Female,Black,7/4/07,9,No,No injuries noted or visible,No,44172,White,Female,No,No injuries noted or visible,Yes,Mentally unstable,APOWW,3122,515,510,NORTHWEST,D6,4709,Lucky,NULL,Ln.,4709 LUCKY LN,Dallas,TX,32.803725,-96.874258,Arrest,Arrest,Held Suspect Down,,,,,,,,,,NULL, Yes
2/17/16,9:25:00 PM,33989,10381,Male,Hispanic,5/9/12,4,No,No injuries noted or visible,No,43723,Black,Female,Yes,Abrasion/Scrape,Yes,Mentally unstable,APOWW,2072,133,130,CENTRAL,D14,300,Lamar,S,St.,300 S LAMAR ST,Dallas,TX,32.778107,-96.803839,Arrest,Danger to self or others,BD - Grabbed,,,,,,,,,,NULL, Yes
